,species,p
0,Pseudoflavonifractor capillosus ,0.00107
1,unclassified Ruminococcus sp. ,0.0173
2,unclassified butyrate-producing bacterium ,0.0173
3,unclassified Ruminococcaceae bacterium ,0.0173
4,Eubacterium hallii ,0.018
5,Eubacterium eligens ,0.0205
6,unclassified Ruminococcus sp. ,0.022
7,Leptotrichia hofstadii ,0.035
8,Streptococcus salivarius ,0.0555
9,Fusobacterium periodonticum ,0.063
10,Roseburia intestinalis ,0.0658
11,Bacteroides fragilis ,0.0746
12,Eubacterium ventriosum ,0.077
13,Bilophila wadsworthia ,0.0841
14,unclassified Neisseria sp. ,0.0841
15,Campylobacter rectus ,0.0841
16,Selenomonas sputigena ,0.0841
17,Leptotrichia buccalis ,0.0841
18,Clostridium hylemonae ,0.0887
19,Ruminococcus bromii ,0.0939
20,Clostridium symbiosum ,0.0955
21,unclassified Parvimonas sp. ,0.0563
22,Fusobacterium nucleatum subsp. polymorphum ,0.00323
23,Porphyromonas asaccharolytica ,0.00961
24,Prevotella nigrescens ,0.0215
25,Fusobacterium nucleatum subsp. nucleatum ,0.000654
26,Parvimonas micra ,0.0665
27,Eubacterium rectale ,0.063
28,Peptostreptococcus stomatis ,0.022
29,Fusobacterium nucleatum subsp. animalis ,7.51e-05
30,Fusobacterium nucleatum subsp. vincentii ,1.3e-05
